batsman,Fours
S Dhawan,526
SK Raina,495
G Gambhir,492
V Kohli,482
DA Warner,459
RV Uthappa,436
RG Sharma,431
AM Rahane,405
CH Gayle,376
PA Patel,366
KD Karthik,358
AB de Villiers,357
SR Watson,344
V Sehwag,334
MS Dhoni,297
SR Tendulkar,296
BB McCullum,293
AT Rayudu,278
SE Marsh,269
R Dravid,269
YK Pathan,264
JH Kallis,255
MK Pandey,253
DR Smith,245
M Vijay,243
AC Gilchrist,239
Yuvraj Singh,218
DPMD Jayawardene,200
MEK Hussey,198
KC Sangakkara,195
KA Pollard,182
SPD Smith,181
KL Rahul,178
AJ Finch,176
SV Samson,171
F du Plessis,164
Mandeep Singh,161
WP Saha,161
KK Nair,158
MK Tiwary,156
Q de Kock,156
RR Pant,154
S Badrinath,154
SS Iyer,150
JC Buttler,143
TM Dilshan,140
RA Jadeja,137
SC Ganguly,137
CA Lynn,128
DA Miller,127
JP Duminy,126
BJ Hodge,122
NV Ojha,121
ML Hayden,121
DJ Bravo,118
MA Agarwal,117
AS Yadav,113
KS Williamson,111
GJ Maxwell,110
LMP Simmons,109
AD Russell,98
M Vohra,97
GC Smith,94
SP Narine,94
MS Bisla,93
SS Tiwary,93
KM Jadhav,92
KP Pietersen,91
DJ Hussey,90
IK Pathan,88
MC Henriques,87
KH Pandya,87
N Rana,85
ST Jayasuriya,84
HH Gibbs,83
Harbhajan Singh,79
Y Venugopal Rao,77
CL White,76
A Symonds,74
RA Tripathi,73
P Shaw,73
HH Pandya,73
EJG Morgan,72
Shakib Al Hasan,69
JD Ryder,69
LRPL Taylor,66
STR Binny,66
Ishan Kishan,66
PC Valthaty,61
JA Morkel,61
HM Amla,60
GJ Bailey,59
SA Asnodkar,56
TL Suman,55
AM Nayar,55
SA Yadav,54
PP Chawla,54
CA Pujara,50
J Bairstow,50
JR Hopes,49
Gurkeerat Singh,47
AR Patel,47
MJ Lumb,45
S Gill,45
SN Khan,44
AD Mathews,44
M Manhas,43
BA Stokes,43
CJ Anderson,40
AP Tare,40
Azhar Mahmood,39
J Botha,39
RS Bopara,39
E Lewis,38
CH Morris,37
JP Faulkner,36
DB Ravi Teja,35
S Sohal,34
MP Stoinis,34
V Shankar,34
OA Shah,34
VVS Laxman,33
SP Goswami,33
LR Shukla,33
UBT Chand,32
MV Boucher,32
R Ashwin,32
SW Billings,31
A Mishra,30
Salman Butt,30
B Chipli,28
SP Fleming,27
P Negi,27
DJ Hooda,27
RN ten Doeschate,26
SM Katich,26
YV Takawale,26
LA Pomersbach,25
JEC Franklin,25
AL Menaria,24
MD Mishra,24
