batsman,Sixes
CH Gayle,327
AB de Villiers,214
MS Dhoni,207
SK Raina,195
RG Sharma,194
V Kohli,191
DA Warner,181
SR Watson,177
KA Pollard,175
YK Pathan,161
RV Uthappa,156
Yuvraj Singh,149
BB McCullum,129
AT Rayudu,120
AD Russell,119
DR Smith,117
V Sehwag,106
KD Karthik,101
S Dhawan,96
RR Pant,94
AC Gilchrist,92
M Vijay,91
GJ Maxwell,91
SV Samson,89
DA Miller,87
KL Rahul,81
NV Ojha,79
JP Duminy,79
SE Marsh,78
MK Pandey,76
AM Rahane,74
HH Pandya,69
AJ Finch,67
SS Iyer,67
RA Jadeja,65
CA Lynn,62
JC Buttler,61
N Rana,60
DJ Bravo,60
DJ Hussey,60
WP Saha,59
G Gambhir,59
F du Plessis,59
JA Morkel,55
Q de Kock,54
MEK Hussey,52
MA Agarwal,52
PA Patel,49
SPD Smith,49
LRPL Taylor,46
SS Tiwary,45
LMP Simmons,44
KS Williamson,44
JH Kallis,44
SP Narine,44
ML Hayden,44
BJ Hodge,43
SC Ganguly,42
Harbhajan Singh,42
A Symonds,41
MK Tiwary,40
KP Pietersen,40
DPMD Jayawardene,40
M Vohra,39
ST Jayasuriya,39
KK Nair,39
CL White,38
KM Jadhav,38
IK Pathan,38
Y Venugopal Rao,37
KH Pandya,35
STR Binny,35
AR Patel,35
Ishan Kishan,34
EJG Morgan,34
Mandeep Singh,33
CJ Anderson,31
HH Gibbs,31
AD Mathews,29
SR Tendulkar,29
S Badrinath,28
AS Yadav,28
R Dravid,28
RA Tripathi,27
CH Morris,27
KC Sangakkara,27
MC Henriques,27
TL Suman,26
NLTC Perera,26
E Lewis,26
BA Stokes,25
TM Dilshan,24
DJ Hooda,24
V Shankar,24
JP Faulkner,23
M Ali,23
MS Bisla,23
OA Shah,23
HM Amla,21
SA Yadav,21
AM Nayar,20
PC Valthaty,20
Shakib Al Hasan,20
GJ Bailey,19
JD Ryder,19
BCJ Cutting,19
DT Christian,19
P Shaw,19
AL Menaria,18
PP Chawla,18
MP Stoinis,18
DJG Sammy,18
J Bairstow,18
S Sohal,18
C de Grandhomme,17
P Kumar,17
P Negi,16
LR Shukla,16
DB Das,16
RS Bopara,16
CR Brathwaite,16
MJ Guptill,15
RN ten Doeschate,15
S Gill,15
A Ashish Reddy,15
N Pooran,14
MR Marsh,14
KV Sharma,14
LA Pomersbach,13
PD Collingwood,13
R Bhatia,13
MV Boucher,13
Azhar Mahmood,13
AP Tare,11
SN Khan,11
JR Hopes,11
Gurkeerat Singh,11
M Manhas,10
R Ashwin,10
SW Billings,10
K Gowtham,10
SA Asnodkar,10
K Goel,9
R Vinay Kumar,9
UBT Chand,9
Bipul Sharma,9
Ankit Sharma,9
HV Patel,9
GC Smith,9
Y Nagar,9
MF Maharoof,9
Rashid Khan,9
DB Ravi Teja,9
JEC Franklin,9
KK Cooper,8
B Lee,8
SM Pollock,8
C Munro,8
SM Katich,8
TM Head,8
Kamran Akmal,8
RE van der Merwe,8
JJ Roy,8
MS Gony,8
MD Mishra,8
AS Raut,7
B Chipli,7
MJ McClenaghan,7
S Hetmyer,7
MG Johnson,7
Mohammad Nabi,7
S Rutherford,7
S Anirudha,7
MN Samuels,7
Shahid Afridi,6
SK Warne,6
R Sathish,6
CM Gautam,6
DL Chahar,6
Misbah-ul-Haq,6
M Kaif,6
MJ Lumb,6
A Hales,6
A Mishra,5
AB Agarkar,5
AA Jhunjhunwala,5
