bowler,player_dismissed
SL Malinga,188
DJ Bravo,168
A Mishra,165
Harbhajan Singh,161
PP Chawla,156
B Kumar,141
R Ashwin,138
SP Narine,137
UT Yadav,136
R Vinay Kumar,127
A Nehra,121
Z Khan,119
RA Jadeja,116
SR Watson,107
DW Steyn,104
P Kumar,102
YS Chahal,102
RP Singh,100
IK Pathan,99
PP Ojha,99
MM Sharma,99
JA Morkel,96
DS Kulkarni,91
JJ Bumrah,91
Sandeep Sharma,90
M Morkel,88
L Balaji,85
JD Unadkat,83
AB Dinda,82
R Bhatia,82
MM Patel,82
Imran Tahir,82
CH Morris,78
JP Faulkner,76
AR Patel,76
MJ McClenaghan,75
JH Kallis,74
SK Trivedi,73
I Sharma,73
KA Pollard,67
M Muralitharan,67
MG Johnson,66
Shakib Al Hasan,66
SK Warne,60
AD Russell,60
Rashid Khan,60
KV Sharma,59
S Kaul,53
Mohammed Shami,52
SB Jakati,50
A Kumble,49
S Aravind,48
HV Patel,47
S Nadeem,47
RJ Harris,47
YK Pathan,46
HH Pandya,45
Iqbal Abdulla,45
VR Aaron,44
AJ Tye,43
P Awana,43
S Sreesanth,43
DE Bollinger,43
MC Henriques,42
Kuldeep Yadav,42
KH Pandya,42
R Sharma,42
PJ Sangwan,41
TA Boult,41
SN Thakur,40
S Gopal,39
M Kartik,39
Yuvraj Singh,39
MA Starc,39
NM Coulter-Nile,39
MS Gony,39
DP Nannes,38
P Negi,38
NLTC Perera,37
KK Cooper,36
DT Christian,36
K Rabada,36
TG Southee,34
DL Vettori,34
A Singh,34
MF Maharoof,33
DL Chahar,33
AB Agarkar,33
Azhar Mahmood,31
WD Parnell,31
Mohammed Siraj,30
Harmeet Singh,30
B Lee,30
SK Raina,30
BA Stokes,29
PV Tambe,28
AD Mathews,28
STR Binny,28
Mustafizur Rahman,28
J Botha,27
DR Smith,27
J Archer,27
SW Tait,26
CR Woakes,26
RE van der Merwe,25
GB Hogg,25
Sohail Tanvir,24
A Symonds,23
BW Hilfenhaus,23
JP Duminy,23
VY Mahesh,22
Bipul Sharma,22
WPUJC Vaas,22
AS Rajpoot,22
Anureet Singh,21
K Ahmed,20
Basil Thampi,20
BB Sran,20
R Dhawan,20
MR Marsh,20
KW Richardson,20
AD Mascarenhas,19
IC Pandey,19
PJ Cummins,19
CH Gayle,19
A Ashish Reddy,19
CRD Fernando,19
A Zampa,19
M Ur Rahman,18
BJ Hodge,18
R Rampaul,17
D Wiese,17
LR Shukla,17
GJ Maxwell,17
Washington Sundar,17
VRV Singh,16
M Markande,16
MP Stoinis,16
ST Jayasuriya,16
AC Thomas,16
R Tewatia,16
RG Sharma,16
CR Brathwaite,16
P Krishna,16
RD Chahar,15
